Project_ID,Project_Name,Project_Type,Scope_Complexity,Estimated_Cost_USD,Resource_Allocation_Score,Risk_Assessment_Score,Environmental_Impact_Score,Historical_Cost_Deviation_%,Stakeholder_Priority_Score,Time_Estimate_Days,Feasibility_Label,Scope_Complexity_Numeric,Unnamed: 13,Unnamed: 14,Engineered_Area,Site_Prep_Planned_Cost,Site_Prep_Planned_Days,Site_Prep_Stage_Risk,Foundations_Planned_Cost,Foundations_Planned_Days,Foundations_Stage_Risk,Structure_Planned_Cost,Structure_Planned_Days,Structure_Stage_Risk,Systems_Planned_Cost,Systems_Planned_Days,Systems_Stage_Risk,Finishing_Planned_Cost,Finishing_Planned_Days,Finishing_Stage_Risk
P0001,Urban Flyover,Road,Medium,2692743,57,68,69,0.0,0.5,268,Feasible,2,,,6499.52,690570.0,91,100.0,443772.25,48,88.03,700558.15,62,63.65,271821.87,33,38.09,586020.73,35,39.93
P0002,Urban Flyover,Road,Medium,5304572,51,38,22,1.69,0.68,375,Feasible,2,,20 - site prep,8163.04,1474730.96,142,66.17,770809.45,71,50.7,1459270.56,76,30.44,578746.7,38,19.41,1021014.33,49,23.27
P0003,Industrial Complex,Road,High,5926484,90,50,62,0.3,0.62,219,Not Feasible,3,,generate for each step,15122.24,1511436.44,71,82.57,890428.16,36,67.63,1703839.83,51,45.34,637186.75,30,26.67,1183592.82,30,27.78
P0004,Smart Solar Grid,Road,Medium,3234489,95,58,76,3.28,0.53,174,Borderline,2,,,8947.38,676558.25,59,100.0,578289.95,35,68.28,817625.06,39,49.04,438208.91,19,39.08,723806.83,22,26.35
P0005,Smart Solar Grid,Building,High,2570006,71,62,69,9.08,0.59,305,Not Feasible,3,,,1005.51,173812.22,19,59.16,368729.11,37,100.0,653457.3,55,43.32,651588.27,95,72.98,722419.1,99,29.35
P0006,Smart Solar Grid,Bridge,High,2136074,90,91,87,0.97,0.56,439,Feasible,3,,,374.34,147681.36,45,64.36,544736.16,103,100.0,830066.18,167,100.0,291349.66,58,53.3,322240.64,65,39.75
P0007,Urban Flyover,Building,Low,5044887,65,44,69,6.06,0.96,205,Borderline,1,,,2306.72,297442.22,15,39.72,620350.5,29,72.89,1369987.04,44,35.7,1459190.15,52,44.29,1297917.1,65,27.4
P0008,Highway Expansion,Power Plant,Low,2239911,78,31,56,4.51,0.57,293,Not Feasible,1,,,314.28,156134.37,32,24.89,342201.28,49,33.41,375624.27,52,19.07,1116045.9,116,41.67,249905.19,44,35.96
P0009,Urban Flyover,Road,High,5472471,98,81,65,9.38,0.77,587,Feasible,3,,,14527.22,1316113.37,183,100.0,882404.34,95,95.71,1431716.89,144,71.79,685306.04,80,42.86,1156930.36,85,52.69
P0010,Highway Expansion,Road,High,3138242,97,73,61,1.23,0.8,141,Feasible,3,,,5690.41,769782.64,49,100.0,554869.21,26,93.26,834273.86,33,61.21,324903.82,20,45.56,654412.46,14,45.8
