Project_ID,Project_Name,Project_Type,Scope_Complexity,Estimated_Cost_USD,Resource_Allocation_Score,Risk_Assessment_Score,Environmental_Impact_Score,Historical_Cost_Deviation_%,Stakeholder_Priority_Score,Time_Estimate_Days,Feasibility_Label,Unnamed: 13,Unnamed: 14,Engineered_Area,Site_Prep_Planned_Cost,Site_Prep_Planned_Days,Site_Prep_Stage_Risk,Foundations_Planned_Cost,Foundations_Planned_Days,Foundations_Stage_Risk,Structure_Planned_Cost,Structure_Planned_Days,Structure_Stage_Risk,Systems_Planned_Cost,Systems_Planned_Days,Systems_Stage_Risk,Finishing_Planned_Cost,Finishing_Planned_Days,Finishing_Stage_Risk,Site_Prep_Actual_Cost,Site_Prep_Actual_Days,Foundations_Actual_Cost,Foundations_Actual_Days,Structure_Actual_Cost,Structure_Actual_Days,Systems_Actual_Cost,Systems_Actual_Days,Finishing_Actual_Cost,Finishing_Actual_Days,Actual_Cost_Total,Actual_Time_Total,Comp_High,Comp_Low,Comp_Medium
P0001,Urban Flyover,Road,Medium,2692743,57,68,69,0.0,0.5,268,Feasible,,,6499.52,690570.0,91,100.0,443772.25,48,88.03,700558.15,62,63.65,271821.87,33,38.09,586020.73,35,39.93,748126.08,127,475527.26,64,733866.96,74,277903.36,35,600193.78,37,2835617.44,337,False,False,True
P0002,Urban Flyover,Road,Medium,5304572,51,38,22,1.69,0.68,375,Feasible,,20 - site prep,8163.04,1474730.96,142,66.17,770809.45,71,50.7,1459270.56,76,30.44,578746.7,38,19.41,1021014.33,49,23.27,1577281.12,172,812448.07,80,1508441.18,77,591844.02,36,1048073.95,47,5538088.34,412,False,False,True
P0003,Industrial Complex,Road,High,5926484,90,50,62,0.3,0.62,219,Not Feasible,,generate for each step,15122.24,1511436.44,71,82.57,890428.16,36,67.63,1703839.83,51,45.34,637186.75,30,26.67,1183592.82,30,27.78,1669710.65,96,970096.63,45,1817530.37,58,667564.06,31,1241360.22,31,6366261.93,261,True,False,False
P0004,Smart Solar Grid,Road,Medium,3234489,95,58,76,3.28,0.53,174,Borderline,,,8947.38,676558.25,59,100.0,578289.95,35,68.28,817625.06,39,49.04,438208.91,19,39.08,723806.83,22,26.35,758828.19,82,629906.83,43,874564.45,43,464275.5,20,757467.04,22,3485042.01,210,False,False,True
P0005,Smart Solar Grid,Building,High,2570006,71,62,69,9.08,0.59,305,Not Feasible,,,1005.51,173812.22,19,59.16,368729.11,37,100.0,653457.3,55,43.32,651588.27,95,72.98,722419.1,99,29.35,201464.97,23,443872.02,54,746092.04,62,765107.65,123,813785.51,103,2970322.19,365,True,False,False
P0006,Smart Solar Grid,Bridge,High,2136074,90,91,87,0.97,0.56,439,Feasible,,,374.34,147681.36,45,64.36,544736.16,103,100.0,830066.18,167,100.0,291349.66,58,53.3,322240.64,65,39.75,159127.48,56,606610.4,149,924349.84,242,310668.75,68,339187.79,72,2339944.26,587,True,False,False
P0007,Urban Flyover,Building,Low,5044887,65,44,69,6.06,0.96,205,Borderline,,,2306.72,297442.22,15,39.72,620350.5,29,72.89,1369987.04,44,35.7,1459190.15,52,44.29,1297917.1,65,27.4,315439.63,15,678874.63,35,1447263.73,44,1554283.56,55,1360140.46,62,5356002.01,211,False,True,False
P0008,Highway Expansion,Power Plant,Low,2239911,78,31,56,4.51,0.57,293,Not Feasible,,,314.28,156134.37,32,24.89,342201.28,49,33.41,375624.27,52,19.07,1116045.9,116,41.67,249905.19,44,35.96,160514.79,30,354726.46,49,383969.7,48,1166142.19,120,259691.39,44,2325044.53,291,False,True,False
P0009,Urban Flyover,Road,High,5472471,98,81,65,9.38,0.77,587,Feasible,,,14527.22,1316113.37,183,100.0,882404.34,95,95.71,1431716.89,144,71.79,685306.04,80,42.86,1156930.36,85,52.69,1610140.13,265,1075327.99,135,1706650.28,185,794855.63,90,1354519.94,100,6541493.97,775,True,False,False
P0010,Highway Expansion,Road,High,3138242,97,73,61,1.23,0.8,141,Feasible,,,5690.41,769782.64,49,100.0,554869.21,26,93.26,834273.86,33,61.21,324903.82,20,45.56,654412.46,14,45.8,863993.37,71,618961.58,37,903357.35,40,346619.82,23,698312.49,16,3431244.61,187,True,False,False
P0011,Dam Reinforcement,Road,Low,5523669,79,83,34,2.12,0.77,363,Feasible,,,13054.63,1464856.99,122,100.0,934392.05,59,100.0,1377776.66,85,70.61,704904.66,46,50.49,1041738.65,51,49.79,1599471.71,165,1020259.09,80,1464194.5,102,735039.97,50,1085550.07,55,5904515.34,452,False,True,False
P0012,Urban Flyover,Power Plant,High,5981505,61,47,52,0.3,0.55,179,Feasible,,,878.03,359365.7,20,36.78,791937.82,33,53.64,906384.63,26,30.09,3296075.37,70,61.88,627741.48,30,52.61,374870.61,22,839540.18,39,939389.84,27,3521524.62,86,664823.67,35,6340148.92,209,True,False,False
P0013,Urban Flyover,Water Infra,High,6564759,84,32,99,4.34,0.66,223,Feasible,,,2714.1,922073.77,42,38.9,1253555.75,51,44.17,2384073.53,57,18.51,1367546.08,41,29.94,637509.87,33,28.47,1004484.95,46,1372520.64,57,2546179.18,56,1476923.2,43,687515.61,34,7087623.58,236,True,False,False
P0014,Urban Flyover,Building,High,2766891,60,36,30,2.78,0.53,258,Feasible,,,943.6,93327.56,24,32.32,346844.58,29,55.7,830686.51,61,26.21,970961.08,68,43.8,525071.27,77,21.97,99338.72,25,377545.87,35,878957.11,62,1044993.04,76,553287.28,77,2954122.02,275,True,False,False
